keyword,category,description,is_active,added_at,added_by
slot,Slot,Kata kunci kategori Slot,True,2026-07-12T09:21:05Z,system
slot88,Slot,Kata kunci kategori Slot,True,2026-07-12T09:21:05Z,system
slot777,Slot,Kata kunci kategori Slot,True,2026-07-12T09:21:05Z,system
gacor,Slot,Kata kunci kategori Slot,True,2026-07-12T09:21:05Z,system
maxwin,Slot,Kata kunci kategori Slot,True,2026-07-12T09:21:05Z,system
scatter,Slot,Kata kunci kategori Slot,True,2026-07-12T09:21:05Z,system
mahjong,Slot,Kata kunci kategori Slot,True,2026-07-12T09:21:05Z,system
olympus,Slot,Kata kunci kategori Slot,True,2026-07-12T09:21:05Z,system
zeus,Slot,Kata kunci kategori Slot,True,2026-07-12T09:21:05Z,system
pragmatic,Slot,Kata kunci kategori Slot,True,2026-07-12T09:21:05Z,system
spin,Slot,Kata kunci kategori Slot,True,2026-07-12T09:21:05Z,system
mpo,Slot,Kata kunci kategori Slot,True,2026-07-12T09:21:05Z,system
togel,Togel,Kata kunci kategori Togel,True,2026-07-12T09:21:05Z,system
toto,Togel,Kata kunci kategori Togel,True,2026-07-12T09:21:05Z,system
4d,Togel,Kata kunci kategori Togel,True,2026-07-12T09:21:05Z,system
3d,Togel,Kata kunci kategori Togel,True,2026-07-12T09:21:05Z,system
2d,Togel,Kata kunci kategori Togel,True,2026-07-12T09:21:05Z,system
pools,Togel,Kata kunci kategori Togel,True,2026-07-12T09:21:05Z,system
keluaran,Togel,Kata kunci kategori Togel,True,2026-07-12T09:21:05Z,system
prediksi,Togel,Kata kunci kategori Togel,True,2026-07-12T09:21:05Z,system
casino,Casino,Kata kunci kategori Casino,True,2026-07-12T09:21:05Z,system
kasino,Casino,Kata kunci kategori Casino,True,2026-07-12T09:21:05Z,system
baccarat,Casino,Kata kunci kategori Casino,True,2026-07-12T09:21:05Z,system
roulette,Casino,Kata kunci kategori Casino,True,2026-07-12T09:21:05Z,system
poker,Poker,Kata kunci kategori Poker,True,2026-07-12T09:21:05Z,system
domino,Poker,Kata kunci kategori Poker,True,2026-07-12T09:21:05Z,system
ceme,Poker,Kata kunci kategori Poker,True,2026-07-12T09:21:05Z,system
qq,Poker,Kata kunci kategori Poker,True,2026-07-12T09:21:05Z,system
sbobet,Sportbook,Kata kunci kategori Sportbook,True,2026-07-12T09:21:05Z,system
sportbook,Sportbook,Kata kunci kategori Sportbook,True,2026-07-12T09:21:05Z,system
taruhan,Sportbook,Kata kunci kategori Sportbook,True,2026-07-12T09:21:05Z,system
bola,Sportbook,Kata kunci kategori Sportbook,True,2026-07-12T09:21:05Z,system
parlay,Sportbook,Kata kunci kategori Sportbook,True,2026-07-12T09:21:05Z,system
judi,Umum,Kata kunci kategori Umum,True,2026-07-12T09:21:05Z,system
judol,Umum,Kata kunci kategori Umum,True,2026-07-12T09:21:05Z,system
bet,Umum,Kata kunci kategori Umum,True,2026-07-12T09:21:05Z,system
betting,Umum,Kata kunci kategori Umum,True,2026-07-12T09:21:05Z,system
gambling,Umum,Kata kunci kategori Umum,True,2026-07-12T09:21:05Z,system
jackpot,Slang,Kata kunci kategori Slang,True,2026-07-12T09:21:05Z,system
hoki,Slang,Kata kunci kategori Slang,True,2026-07-12T09:21:05Z,system
cuan,Slang,Kata kunci kategori Slang,True,2026-07-12T09:21:05Z,system
wd,Slang,Kata kunci kategori Slang,True,2026-07-12T09:21:05Z,system
anti rungkad,Slang,Kata kunci kategori Slang,True,2026-07-12T09:21:05Z,system
rtp,Slang,Kata kunci kategori Slang,True,2026-07-12T09:21:05Z,system
jp,Slang,Kata kunci kategori Slang,True,2026-07-12T09:21:05Z,system
live,Operasional,Kata kunci kategori Operasional,True,2026-07-12T09:21:05Z,system
livechat,Operasional,Kata kunci kategori Operasional,True,2026-07-12T09:21:05Z,system
login,Operasional,Kata kunci kategori Operasional,True,2026-07-12T09:21:05Z,system
daftar,Operasional,Kata kunci kategori Operasional,True,2026-07-12T09:21:05Z,system
deposit,Operasional,Kata kunci kategori Operasional,True,2026-07-12T09:21:05Z,system
withdraw,Operasional,Kata kunci kategori Operasional,True,2026-07-12T09:21:05Z,system
akong,Operasional,Kata kunci kategori Operasional,True,2026-07-12T09:21:05Z,system
agen,Operasional,Kata kunci kategori Operasional,True,2026-07-12T09:21:05Z,system
bandar,Operasional,Kata kunci kategori Operasional,True,2026-07-12T09:21:05Z,system
winrate,Operasional,Kata kunci kategori Operasional,True,2026-07-12T09:21:05Z,system
